idPropuesta,nombre,descripcion,fechaCreacion,idCreador
75,Denunciar a Natividad Guzmán Acero,,,4735
76,Hablar con Lucio Bello Giner,,,8427
77,Echar a Clotilde Guardia Caballero,,,6344
78,Quitar el busto de Jessica Jordán Serrano,,,6063
79,Quitar el busto de Mercedes Abella Santamaría,,,9085
80,Quitar el busto de Malena Ferrándiz Pons,,,4618
81,Quitar el busto de Gloria Villaverde Luján,,,2182
82,Hablar con Febe Carlos Córdoba,,,7319
83,Denunciar a Cirino Bastida Parejo,,,7273
84,Echar a Esperanza Castañeda Piñol,,,3978
85,Echar a Juan Antonio Gisbert Pagès,,,2962
86,Echar a Benigna de Carreño,,,1073
87,Echar a Jesusa Cisneros,,,7905
88,Echar a Carina Ferrández-Lucas,,,3404
89,Echar a Primitiva del Berrocal,,,4106
90,Echar a Andrea Bonet Velázquez,,,6711
91,Echar a Noemí Jordá Guzman,,,5165
92,Echar a Paulina Ibáñez Linares,,,4163
93,Denunciar a Amaro Ramirez Peralta,,,6880
94,Quitar el busto de Samuel Quirós Sanz,,,2168
95,Echar a Vanesa Nevado-Sancho,,,11155
96,Denunciar a Osvaldo Badía Bernad,,,2944
97,Echar a Federico Pérez Cuéllar,,,6961
98,Echar a Tatiana Araujo Arjona,,,2676
99,Echar a Micaela Marcos Sabater,,,8913
100,Hablar con Pastor Novoa Abellán,,,1145
101,Denunciar a Encarnita Ledesma Bermudez,,,132
102,Hablar con Norberto Salazar Aragón,,,6613
103,Echar a Gaspar Manuel,,,7051
104,Hablar con Antonio Sierra Ugarte,,,7884
105,Denunciar a Rodolfo Pintor Oliveras,,,5035
106,Hablar con Manu Sastre Porcel,,,5521
107,Denunciar a Eliseo Ángel Reguera,,,3684
108,Hablar con Guillermo Mate Exposito,,,1449
109,Denunciar a Balduino Martinez Cid,,,9917
110,Quitar el busto de Fermín Maza Bautista,,,1028
111,Hablar con Matías Galindo Almagro,,,1116
112,Echar a Sebastian Sierra-Hernández,,,9402
113,Quitar el busto de Guiomar Aguirre-Folch,,,6647
114,Quitar el busto de Isabel Ribas Moraleda,,,4117
115,Hablar con Máximo Gabino Ibañez Mena,,,6127
116,Hablar con José Antonio Andrade Alonso,,,5651
117,Denunciar a Jeremías Caro Mate,,,8345
118,Denunciar a Inés Neira Tomé,,,6581
119,Echar a Luna Vendrell Carbonell,,,7195
120,Denunciar a Alberto Giner Trillo,,,3983
121,Echar a Plácido Criado Mena,,,9222
122,Echar a Telmo Elías-Ramirez,,,1885
123,Echar a Pablo de Blázquez,,,5774
124,Quitar el busto de Amor Quintero Moreno,,,6586
125,Echar a Jessica Busquets Cal,,,3774
126,Hablar con Godofredo Zurita Sáenz,,,7542
127,Hablar con Rubén Gras Pino,,,4560
128,Hablar con Iker Cañizares Caparrós,,,8513
129,Echar a Arcelia Leire Portero Segarra,,,7147
130,Echar a Leyre Asensio Alfaro,,,7002
131,Echar a Tatiana Gisbert Casanovas,,,707
132,Quitar el busto de Enrique Merino,,,2294
133,Denunciar a Emiliana Elena Carrillo Pozo,,,940
134,Echar a Cayetano Bravo Reguera,,,5595
135,Denunciar a Maricela Rosa Azorin,,,3991
136,Quitar el busto de Emiliana Hoyos Teruel,,,5756
137,Echar a América Mena Murcia,,,6830
138,Echar a Abril Piñol Marcos,,,5816
139,Hablar con Cornelio Conesa Perez,,,5731
140,Hablar con Mireia del Hoz,,,9689
141,Echar a José Manuel Rafa Vives Valera,,,6135
142,Quitar el busto de Luciana Parra Ferrero,,,295
143,Denunciar a Aníbal Pellicer-Durán,,,9144
144,Echar a Severo Leonel Benet Rocha,,,9979
145,Denunciar a Eustaquio Casanovas Vara,,,7674
146,Denunciar a Débora Gómez,,,6581
147,Denunciar a Salomé Catalá,,,9575
148,Echar a Reinaldo Quintanilla Cabrero,,,7471
149,Echar a Pía Requena Arjona,,,9156
150,Echar a Odalis Ferrero Fernandez,,,2135
151,Denunciar a Adelia Villa Cózar,,,363
152,Denunciar a Paulino Campo Cervera,,,4425
153,Denunciar a Glauco Valero Escrivá Puente,,,9768
154,Quitar el busto de Edelmira Jove Maza,,,6763
155,Denunciar a Adán Nadal Quesada,,,6940
156,Denunciar a Alma Ribas Coronado,,,8248
157,Quitar el busto de Néstor Humberto Mora Cabo,,,11905
158,Hablar con Ibán Torrecilla-Fuster,,,4429
159,Quitar el busto de Salomé del Ricart,,,8058
160,Echar a Teresa del Ródenas,,,11009
161,Hablar con Pacífica Merche Bayona Jaén,,,8641
162,Echar a Gabriela de Pastor,,,3295
163,Quitar el busto de Olga Dominguez Goñi,,,530
164,Denunciar a Régulo Aguilera Julián,,,10098
165,Denunciar a Victorino Granados Murillo,,,5761
166,Hablar con Nazario Costa Arteaga,,,95
167,Hablar con Miriam Díaz Sarmiento,,,9109
168,Hablar con Lope Gilberto Sanchez Álamo,,,1355
169,Hablar con Adalberto Domingo Sarabia,,,8844
170,Quitar el busto de Yésica Rosenda Buendía Bosch,,,11273
171,Quitar el busto de Eleuterio de Rodrigo,,,10655
172,Hablar con Anselmo de Ricart,,,411
173,Quitar el busto de Amor Vallejo Diez,,,1847
174,Echar a Paz Rincón,,,10261
175,Denunciar a Fortunato Jove Solana,,,9246
176,Denunciar a Cebrián Contreras Sarmiento,,,11252
177,Hablar con Leticia Criado Peñalver,,,2554
178,Quitar el busto de Espiridión Elorza,,,5
179,Denunciar a Julieta Peñas Meléndez,,,5344
180,Quitar el busto de Elías Ropero Pedrosa,,,10356
181,Hablar con Flor Jesusa Calatayud Manso,,,11519
182,Denunciar a Sara Garmendia Villalba,,,2491
183,Echar a Nicolás Gil-Alarcón,,,4563
184,Quitar el busto de Javiera Feliciana Salvador Viña,,,1449
185,Denunciar a Hipólito Fuentes Bernal,,,5826
186,Hablar con Malena Toledo Álamo,,,2380
187,Hablar con Onofre del Rosa,,,7555
188,Quitar el busto de Lucio Córdoba,,,5275
189,Denunciar a Buenaventura Luís Barón Giner,,,2496
190,Hablar con Leonor Martorell,,,4462
191,Echar a Aureliano Puente Palomino,,,9037
192,Hablar con Ainoa Vicens Arranz,,,11437
193,Echar a Renata Carrión Albero,,,7563
194,Quitar el busto de Lupe Silvio Benavides Gimeno,,,10855
195,Quitar el busto de Ciro Pons Silva,,,8403
196,Echar a Renata Bello Córdoba,,,11121
197,Echar a Leticia Orozco-Lillo,,,10974
198,Hablar con Hernando de Aguilera,,,10223
199,Denunciar a Vidal del Galindo,,,4104
200,Denunciar a Rosalinda Roldan Muñoz,,,696
201,Denunciar a Pedro Colomer-Cañizares,,,11055
202,Denunciar a Lope Angulo-Montero,,,2322
203,Hablar con Lupe Redondo Barrera,,,9923
204,Echar a Teodoro Cifuentes Prats,,,1512
205,Hablar con Armida Coca Cabo,,,1572
206,Quitar el busto de Ruy Galindo Ariza,,,11420
207,Echar a Sarita de Bou,,,10904
208,Denunciar a Hilda Margarita Valls Bonet,,,828
209,Hablar con Ulises Ros,,,4634
210,Echar a África Moles Codina,,,1035
211,Quitar el busto de Leoncio Gras Segarra,,,1669
212,Hablar con Graciana Crespi-Tolosa,,,3282
213,Quitar el busto de Buenaventura Sabater Calatayud,,,10953
214,Quitar el busto de Humberto Tenorio Castrillo,,,4167
215,Denunciar a Vicenta Narcisa Ramirez Ballesteros,,,8735
216,Denunciar a Tomás Gonzalez,,,11187
217,Hablar con Leocadio Sevilla Manjón,,,4232
218,Quitar el busto de Berta Casanovas Soria,,,5425
219,Hablar con Iván Bayona Luna,,,9625
220,Echar a Vidal Bermudez Pons,,,11162
221,Echar a Amelia Calatayud,,,11180
222,Echar a Leocadio Alcázar,,,545
223,Denunciar a Georgina Teruel Armas,,,9456
224,Echar a Héctor Torralba Casals,,,2995
225,Echar a Amado Tapia Asenjo,,,9845
226,Quitar el busto de África Flavia Mendoza Flores,,,1393
227,Hablar con Rocío Cáceres,,,10643
228,Echar a Vera del Manso,,,5304
229,Hablar con Victor Esteve Escamilla,,,1146
230,Echar a Alicia Olmo Sanz,,,8732
231,Denunciar a Isabel de Jaume,,,11440
232,Denunciar a Melisa Pascual Ortiz,,,9427
233,Hablar con Elvira Giralt Losada,,,1766
234,Denunciar a Gastón Carlos Pavón,,,4613
235,Echar a Susanita Iglesias Ferrera,,,8096
236,Denunciar a Marisa Heredia,,,3116
237,Echar a Odalys del Maestre,,,814
238,Hablar con Estrella Castell Lucena,,,7185
239,Hablar con Jenny de Farré,,,4095
240,Echar a Estrella Renata Lara Estrada,,,11895
241,Hablar con Leonardo de Donaire,,,1400
242,Hablar con Josep Catalá Baños,,,8440
243,Quitar el busto de Cintia del Alarcón,,,10092
244,Denunciar a Lupe Josefina Verdejo Fuertes,,,9321
245,Echar a Mamen Figueroa Garriga,,,5014
246,Denunciar a Juan Manuel Olegario Mulet Arjona,,,7536
247,Echar a Amancio León Vidal,,,10959
248,Echar a Melchor Nogués,,,769
249,Quitar el busto de Fito Peiró Haro,,,5482
250,Denunciar a Dorotea Morata Sevilla,,,695
251,Quitar el busto de Bernardo Casals Asensio,,,901
252,Echar a Etelvina Cueto-Arellano,,,1658
253,Hablar con Tito de Ramón,,,9601
254,Hablar con Pastor Alcolea Arnau,,,6639
255,Denunciar a Francisco Tamayo Gonzalo,,,4789
256,Denunciar a Lucho Carranza Córdoba,,,6955
257,Echar a Rosaura Romero Corral,,,7216
258,Quitar el busto de Lorena Puente-Aranda,,,786
259,Echar a Loreto Ribas Barragán,,,6976
260,Hablar con Cecilio de Sanchez,,,7957
261,Hablar con Marciano Leal Cortina,,,4041
262,Echar a Martina Calvet-Puerta,,,8730
263,Denunciar a Domitila Victoria Lladó Osorio,,,9375
264,Hablar con Hernán Laguna Aparicio,,,6804
265,Quitar el busto de Gilberto Tejada,,,6662
266,Quitar el busto de Lisandro Llanos Mena,,,10588
267,Denunciar a Rodrigo Ramírez Benet,,,4267
268,Hablar con Anabel Javiera Velasco Ferrández,,,10258
269,Hablar con Elisa Taboada Osuna,,,4076
270,Echar a Teresita Agustí Piquer,,,7547
271,Denunciar a Modesto Pinto-Jaén,,,6787
272,Denunciar a Gisela del Suárez,,,6120
273,Denunciar a Dafne Infante,,,753
274,Hablar con Violeta Olmedo Miró,,,3267
275,Denunciar a José Ángel Terrón Buendía,,,9948
276,Denunciar a Eric Fuente Landa,,,962
277,Quitar el busto de Paz Asensio Almeida,,,6496
278,Quitar el busto de Alejandro Mata Morán,,,3559
279,Quitar el busto de Florina Ascensión Morcillo Bauzà,,,3281
280,Hablar con Merche Roma Arjona,,,9813
281,Quitar el busto de Trinidad Roselló Company,,,7986
282,Quitar el busto de Rubén Giralt-Morales,,,1316
283,Quitar el busto de Jose Manuel Cobos Malo,,,3990
284,Echar a Isabela Dueñas Conde,,,3850
285,Quitar el busto de Gil Prada Barba,,,5913
286,Quitar el busto de Úrsula Palomares Mir,,,2318
287,Hablar con Tere Oliva Ferrer,,,11651
288,Denunciar a Alejandra Zoraida Requena Lerma,,,4361
289,Denunciar a Ani Orozco,,,9148
290,Quitar el busto de Mercedes Reig-Rocha,,,8880
291,Denunciar a Eli Ricart Garzón,,,5204
292,Quitar el busto de Nazaret Rodríguez,,,4329
293,Denunciar a Liliana Guijarro Diéguez,,,3063
294,Echar a Juan del Aparicio,,,4154
295,Denunciar a Custodia Ángela Morcillo Feijoo,,,6638
296,Quitar el busto de Charo Montoya Castañeda,,,7011
297,Denunciar a Javiera Esparza Santos,,,4548
298,Hablar con Gema Morera-Narváez,,,5445
299,Denunciar a Iker Fito Tenorio Galán,,,11599
300,Quitar el busto de Lino Águila Noguera,,,1357
301,Denunciar a Darío Toro Chamorro,,,8202
302,Echar a Priscila Jordá Viana,,,8117
303,Hablar con Josefa Casals Niño,,,1851
304,Echar a Berta Gelabert Gascón,,,3938
305,Hablar con Jesús Jiménez-Alegria,,,9483
306,Denunciar a Florina Ani Exposito Abascal,,,3312
307,Denunciar a Eliseo Perez Pedro,,,606
308,Echar a Cayetana Rivera Sanz,,,2630
309,Hablar con Chucho Alcántara Quevedo,,,2946
310,Quitar el busto de Gabriel Lladó Alcalde,,,694
311,Hablar con Reinaldo Nevado Sevillano,,,344
312,Quitar el busto de Camila Vallés García,,,10542
313,Quitar el busto de Plácido Sola Yáñez,,,3017
314,Quitar el busto de Quique Guerrero-Cornejo,,,2249
315,Quitar el busto de Régulo Galiano,,,2919
316,Quitar el busto de Tadeo Cantón Huguet,,,10367
317,Hablar con Marisela Saura Mateos,,,4914
318,Quitar el busto de Luís Edelmiro Tomé Casado,,,1946
319,Echar a Nando de Sanmiguel,,,7804
320,Echar a Pepita Criado Torrecilla,,,1888
321,Quitar el busto de Juan Manuel Martí Ortuño,,,3920
322,Echar a Cruz Blanco Ariño,,,1555
323,Quitar el busto de Cristóbal Rios Sevillano,,,6389
324,Quitar el busto de Mirta de Gallo,,,2572
325,Echar a Ascensión Patiño Arellano,,,3528
326,Echar a Ramona Tere Mascaró Arrieta,,,5573
327,Hablar con Patricia Tena Cobos,,,6260
328,Hablar con Leandro Díaz Rubio,,,2181
329,Quitar el busto de Cristian Clavero Torrens,,,8117
330,Echar a Tristán Jordá Sainz,,,11392
331,Quitar el busto de Esther Hernando Linares,,,10361
332,Hablar con Yéssica Nevado-Báez,,,10000
333,Echar a Ibán del Montenegro,,,6348
334,Hablar con Balduino de Aranda,,,10070
335,Denunciar a Inmaculada Tenorio Zorrilla,,,2371
336,Quitar el busto de Isidoro Galván Bermúdez,,,2265
337,Denunciar a Sandalio Cerdán Alcántara,,,11770
338,Quitar el busto de Gerónimo Ayllón Morales,,,3202
339,Denunciar a Leonardo del Suárez,,,10110
340,Quitar el busto de Maxi Rosado-Anglada,,,5798
341,Echar a Balduino Vallejo Arranz,,,6233
342,Denunciar a Horacio Montalbán Abellán,,,7182
343,Hablar con Tomasa Menéndez Puente,,,9719
344,Quitar el busto de Ángeles Aliaga,,,6489
345,Denunciar a Reina Jordá Vara,,,1398
346,Echar a Candelaria Recio,,,4372
347,Echar a Pilar Vizcaíno Dominguez,,,8105
348,Denunciar a Adalberto Garmendia Zorrilla,,,89
349,Echar a Felipe Roma Tejedor,,,11699
350,Hacer un huerto en Universidad Internacional de La Rioja,,,4381
351,Quitar las nuevas vallas de los jardines entre facultades Universidad de Huelva,,,1909
352,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Extremadura,,,7372
353,Promover cursos de lenguas extranjeras Universidad Francisco de Vitoria,,,9002
354,Crear un programa de eficiencia energética en los edificios de la Universidad de Sevilla,,,6930
355,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Córdoba,,,2406
356,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Pontificia de Salamanca,,,6349
357,Promover cursos de lenguas extranjeras Universidad Abierta de Cataluña,,,4582
358,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Rovira i Virgili,,,5256
359,Crear un programa de eficiencia energética en los edificios de la Universidad Pompeu Fabra,,,3384
360,Mejorar el sistema de consulta de fondos de la biblioteca de la European University Vitoria-Gasteiz,,,10864
361,Promover cursos de lenguas extranjeras Universidad Rey Juan Carlos,,,2633
362,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de La Laguna,,,1179
363,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Vigo,,,7000
364,Promover cursos de lenguas extranjeras Universidad Europea de Canarias,,,10403
365,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Antonio de Nebrija,,,10403
366,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Valladolid,,,1796
367,Promover cursos de lenguas extranjeras Universidad Pablo de Olavide,,,7194
368,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Tecnológica Atlántico-Mediterráneo,,,10260
369,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Loyola Andalucía,,,10670
370,Crear un programa de eficiencia energética en los edificios de la Universidad Abierta de Cataluña,,,2931
371,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Europea de Valencia,,,3628
372,Hacer un huerto en Universidad de Córdoba,,,10792
373,Promover cursos de lenguas extranjeras Universidad de Málaga,,,296
374,Promover cursos de lenguas extranjeras Universidad de La Rioja,,,3928
375,Crear un programa de eficiencia energética en los edificios de la Universidad Pública de Navarra,,,11700
376,Promover el deporte en la vida universitaria Universidad Pontificia de Salamanca,,,11131
377,Promover el deporte en la vida universitaria Universidad de Vich,,,3429
378,Hacer un huerto en Universidad Alfonso X el Sabio,,,4960
379,Promover curso de capacitación profesionales Universidad de Zaragoza,,,10474
380,Hacer un huerto en Universidad de Zaragoza,,,8807
381,Hacer un huerto en Universidad de Huelva,,,10707
382,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Zaragoza,,,6553
383,Promover cursos de lenguas extranjeras Universidad Eclesiástica San Dámaso,,,3225
384,Crear un programa de eficiencia energética en los edificios de la Universidad de Málaga,,,682
385,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Autónoma de Madrid,,,490
386,Crear un programa de eficiencia energética en los edificios de la Universidad Abierta de Cataluña,,,5094
387,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Autónoma de Barcelona,,,7113
388,Hacer un huerto en Universidad Abad Oliva CEU,,,2129
389,Promover cursos de lenguas extranjeras Universidad a Distancia de Madrid,,,5372
390,Promover el deporte en la vida universitaria Universidad Pablo de Olavide,,,7450
391,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Nacional de Educación a Distancia,,,167
392,Promover curso de capacitación profesionales Universidad de Murcia,,,4077
393,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Abad Oliva CEU,,,2163
394,Quitar las nuevas vallas de los jardines entre facultades Universidad Autónoma de Barcelona,,,4666
395,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Nacional de Educación a Distancia,,,5985
396,Promover curso de capacitación profesionales Universidad Camilo José Cela,,,2676
397,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Huelva,,,8284
398,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad CEU San Pablo,,,3130
399,Promover cursos de lenguas extranjeras Universidad de Huelva,,,11263
400,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Eclesiástica San Dámaso,,,6280
401,Promover cursos de lenguas extranjeras Universidad de Jaén,,,8486
402,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Salamanca,,,6973
403,Promover el deporte en la vida universitaria Universidad de Alicante,,,97
404,Promover el deporte en la vida universitaria Universidad de Santiago de Compostela,,,2863
405,Promover el deporte en la vida universitaria Universidad Antonio de Nebrija,,,8202
406,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Rey Juan Carlos,,,6521
407,Quitar las nuevas vallas de los jardines entre facultades Universidad Internacional Villanueva,,,8515
408,Promover el deporte en la vida universitaria Universidad Francisco de Vitoria,,,10823
409,Quitar las nuevas vallas de los jardines entre facultades Universidad Alfonso X el Sabio,,,9392
410,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad CEU San Pablo,,,1450
411,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Autónoma de Madrid,,,2652
412,Hacer un huerto en Universidad de Málaga,,,493
413,Quitar las nuevas vallas de los jardines entre facultades Universidad de Vich,,,10509
414,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad CEU San Pablo,,,229
415,Promover cursos de lenguas extranjeras Universidad Camilo José Cela,,,2640
416,Promover curso de capacitación profesionales Universidad Complutense de Madrid,,,3777
417,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Complutense de Madrid,,,10450
418,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Las Palmas de Gran Canaria,,,9060
419,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Camilo José Cela,,,4013
420,Quitar las nuevas vallas de los jardines entre facultades Universidad de Jaén,,,9388
421,Promover cursos de lenguas extranjeras Universidad de Gerona,,,147
422,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Sevilla,,,3294
423,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Granada,,,5941
424,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Cantabria,,,11476
425,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Complutense de Madrid,,,2581
426,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Pablo de Olavide,,,10817
427,Promover curso de capacitación profesionales Universidad Fernando III,,,6643
428,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Loyola Andalucía,,,2356
429,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Ramon Llull,,,10804
430,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Almería,,,11190
431,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad IE,,,7960
432,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la European University Vitoria-Gasteiz,,,7356
433,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Las Palmas de Gran Canaria,,,4698
434,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Las Palmas de Gran Canaria,,,8685
435,Crear un programa de eficiencia energética en los edificios de la Universidad Camilo José Cela,,,11895
436,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Europea Miguel de Cervantes,,,7114
437,Promover el deporte en la vida universitaria Universidad Politécnica de Valencia,,,9488
438,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Mondragón,,,8310
439,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de las Islas Baleares,,,7700
440,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Huelva,,,2514
441,Promover cursos de lenguas extranjeras Universidad de Navarra,,,3175
442,Crear un programa de eficiencia energética en los edificios de la Universidad del País Vasco,,,894
443,Promover curso de capacitación profesionales Universidad Complutense de Madrid,,,9713
444,Hacer un huerto en Universidad de Burgos,,,470
445,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Rovira i Virgili,,,2830
446,Quitar las nuevas vallas de los jardines entre facultades Universidad de Valladolid,,,4664
447,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Rovira i Virgili,,,3111
448,Crear un programa de eficiencia energética en los edificios de la Universidad IE,,,11481
449,Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Nacional de Educación a Distancia,,,11923
450,Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Santiago de Compostela,,,10878
451,Promover el deporte en la vida universitaria Universidad de Sevilla,,,2074
452,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Las Palmas de Gran Canaria,,,1173
453,Promover el deporte en la vida universitaria Universidad de Cádiz,,,8878
454,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Miguel Hernández de Elche,,,7284
455,Promover cursos de lenguas extranjeras Universidad de Almería,,,9845
456,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Navarra,,,3075
457,Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Pública de Navarra,,,10768
458,Promover cursos de lenguas extranjeras Universidad de Valencia,,,10436
459,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Internacional Isabel I de Castilla,,,1290
460,Crear un programa de eficiencia energética en los edificios de la Universidad Politécnica de Valencia,,,5021
461,Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Abad Oliva CEU,,,10074
462,Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Abad Oliva CEU,,,4605
